场景,风电档位,光伏档位,日产量(吨/天),运行小时,吨氨成本(¥/ton),购电(kWh),售电(kWh),绿电惩罚(¥),分类,求解状态
W0S0,0,0,72,24,5447.00,430280.00,135324.00,0.00,全满足,Optimal
W0S0,0,0,63,21,4532.74,326626.20,156170.20,5.34,部分满足,Optimal
W0S0,0,0,54,18,3739.46,235072.20,189116.20,51.47,部分满足,Optimal
W0S0,0,0,45,15,3086.30,233210.20,311754.20,223.16,部分满足,Optimal
W0S0,0,0,36,12,2118.44,233210.20,436254.20,397.46,部分满足,Optimal
W0S1,0,1,72,24,6819.59,560966.20,7450.20,0.00,全满足,Optimal
W0S1,0,1,63,21,6045.35,448992.40,19976.40,0.00,全满足,Optimal
W0S1,0,1,54,18,5441.62,342718.40,38202.40,0.00,全满足,Optimal
W0S1,0,1,45,15,4874.00,298318.20,118302.20,24.73,部分满足,Optimal
W0S1,0,1,36,12,4089.94,262502.20,206986.20,148.88,部分满足,Optimal
W0S2,0,2,72,24,8180.30,719276.00,0.00,0.00,全满足,Optimal
W0S2,0,2,63,21,7587.51,605382.20,10606.20,0.00,全满足,Optimal
W0S2,0,2,54,18,7070.80,526300.00,56024.00,0.00,全满足,Optimal
W0S2,0,2,45,15,6488.84,426558.00,80782.00,18.61,部分满足,Optimal
W0S2,0,2,36,12,5772.91,345890.40,124614.40,79.98,部分满足,Optimal
W0S3,0,3,72,24,8728.81,783916.00,0.00,13.26,部分满足,Optimal
W0S3,0,3,63,21,8205.76,668742.20,9326.20,4.86,部分满足,Optimal
W0S3,0,3,54,18,7600.90,565340.00,30424.00,0.00,全满足,Optimal
W0S3,0,3,45,15,7027.73,472828.20,62412.20,10.99,部分满足,Optimal
W0S3,0,3,36,12,6333.90,361250.40,75334.40,29.08,部分满足,Optimal
W1S0,1,0,72,24,5852.85,487428.00,89612.00,0.00,全满足,Optimal
W1S0,1,0,63,21,4976.20,380750.20,107434.20,0.00,全满足,Optimal
W1S0,1,0,54,18,4237.30,284602.40,135786.40,5.61,部分满足,Optimal
W1S0,1,0,45,15,3584.34,263256.40,238940.40,150.02,部分满足,Optimal
W1S0,1,0,36,12,2740.98,263256.40,363440.40,324.32,部分满足,Optimal
W1S1,1,1,72,24,7382.67,656376.00,0.00,0.00,全满足,Optimal
W1S1,1,1,63,21,6668.51,541378.20,9502.20,0.00,全满足,Optimal
W1S1,1,1,54,18,6125.31,424912.00,17536.00,0.00,全满足,Optimal
W1S1,1,1,45,15,5516.86,351274.20,68398.20,0.00,全满足,Optimal
W1S1,1,1,36,12,4767.09,298452.20,140076.20,84.01,部分满足,Optimal
W1S2,1,2,72,24,8787.31,822136.00,0.00,24.73,部分满足,Optimal
W1S2,1,2,63,21,8260.87,705218.20,7582.20,15.80,部分满足,Optimal
W1S2,1,2,54,18,7780.74,616514.20,43378.20,15.33,部分满足,Optimal
W1S2,1,2,45,15,7275.52,526446.40,77810.40,57.71,全不满足,Optimal
W1S2,1,2,36,12,6625.35,411998.40,87862.40,63.59,全不满足,Optimal
W1S3,1,3,72,24,9335.82,886776.00,0.00,44.12,部分满足,Optimal
W1S3,1,3,63,21,8859.26,765631.80,3355.80,33.92,部分满足,Optimal
W1S3,1,3,54,18,8290.72,652994.20,15218.20,26.28,部分满足,Optimal
W1S3,1,3,45,15,7766.75,550126.40,36850.40,25.57,全不满足,Optimal
W1S3,1,3,36,12,7187.81,427588.60,38812.60,17.70,全不满足,Optimal
W2S0,2,0,72,24,5299.25,402248.20,126368.20,0.00,全满足,Optimal
W2S0,2,0,63,21,4449.46,311294.40,159914.40,5.24,部分满足,Optimal
W2S0,2,0,54,18,3685.21,229836.40,202956.40,65.50,部分满足,Optimal
W2S0,2,0,45,15,2997.49,223326.20,320946.20,230.69,部分满足,Optimal
W2S0,2,0,36,12,2007.42,223326.20,445446.20,404.99,部分满足,Optimal
W2S1,2,1,72,24,6681.14,538166.40,3726.40,0.00,全满足,Optimal
W2S1,2,1,63,21,5972.70,438892.60,28952.60,0.00,全满足,Optimal
W2S1,2,1,54,18,5373.33,336496.20,51056.20,0.00,全满足,Optimal
W2S1,2,1,45,15,4706.89,278030.40,117090.40,17.69,部分满足,Optimal
W2S1,2,1,36,12,3908.56,245100.40,208660.40,145.89,部分满足,Optimal
W2S2,2,2,72,24,8063.80,700200.00,0.00,0.00,全满足,Optimal
W2S2,2,2,63,21,7539.95,599006.20,23306.20,0.00,全满足,Optimal
W2S2,2,2,54,18,7033.86,522284.00,71084.00,0.00,全满足,Optimal
W2S2,2,2,45,15,6469.89,427130.00,100430.00,40.78,部分满足,Optimal
W2S2,2,2,36,12,5721.12,345296.20,143096.20,100.51,部分满足,Optimal
W2S3,2,3,72,24,8612.31,764840.00,0.00,7.54,部分满足,Optimal
W2S3,2,3,63,21,8122.52,657071.80,16731.80,1.36,部分满足,Optimal
W2S3,2,3,54,18,7554.36,560102.20,44262.20,0.00,全满足,Optimal
W2S3,2,3,45,15,6964.76,468012.20,76672.20,25.61,部分满足,Optimal
W2S3,2,3,36,12,6295.92,362822.40,95982.40,52.65,部分满足,Optimal
W3S0,3,0,72,24,4952.88,353502.00,173706.00,0.00,全满足,Optimal
W3S0,3,0,63,21,4065.06,246832.00,191536.00,22.61,部分满足,Optimal
W3S0,3,0,54,18,3274.63,188954.20,258158.20,115.88,部分满足,Optimal
W3S0,3,0,45,15,2538.00,188954.20,382658.20,290.18,部分满足,Optimal
W3S0,3,0,36,12,1433.05,188954.20,507158.20,464.48,部分满足,Optimal
W3S1,3,1,72,24,6200.15,448096.20,9740.20,0.00,全满足,Optimal
W3S1,3,1,63,21,5456.26,353758.40,39902.40,0.00,全满足,Optimal
W3S1,3,1,54,18,4796.31,267272.00,77916.00,0.00,全满足,Optimal
W3S1,3,1,45,15,4131.70,227146.00,162290.00,54.06,部分满足,Optimal
W3S1,3,1,36,12,3271.46,203034.20,262678.20,194.61,部分满足,Optimal
W3S2,3,2,72,24,7552.61,604116.00,0.00,0.00,全满足,Optimal
W3S2,3,2,63,21,6979.27,506416.00,26800.00,0.00,全满足,Optimal
W3S2,3,2,54,18,6399.34,414771.80,59655.80,0.00,全满足,Optimal
