场景,风电档位,光伏档位,日产量(吨/天),吨氨成本(元/吨),eta_self,eta_green,eta_grid,日购电量(kWh),日售电量(kWh),日发电量(kWh),日用电量(kWh),分类,求解状态,绿电惩罚(元)
W0S0,0,0,72,5384.50,0.6447,0.5928,0.1776,430280.00,135324.00,761764.00,1056720.00,全满足,Optimal,0.00
W0S0,0,0,63,4451.20,0.6363,0.6729,0.1818,302982.37,138526.37,761764.00,926220.00,全满足,Optimal,0.00
W0S0,0,0,54,3716.09,0.6000,0.7539,0.2000,198981.14,152352.80,761764.00,808392.34,部分满足,Optimal,0.00
W0S0,0,0,45,3163.43,0.6000,0.9007,0.2000,67156.78,152352.80,761764.00,676567.98,部分满足,Optimal,0.00
W0S0,0,0,36,2327.52,0.4944,0.9995,0.2528,283.80,192557.59,761764.00,569490.21,部分满足,Optimal,100511.97
W0S1,0,1,72,6757.09,0.9704,0.4691,0.0148,560966.20,7450.20,503204.00,1056720.00,全满足,Optimal,0.00
W0S1,0,1,63,5947.96,0.9704,0.5358,0.0148,429519.13,7450.20,503204.00,925272.93,全满足,Optimal,0.00
W0S1,0,1,54,5170.74,0.9704,0.6220,0.0148,301321.82,7450.20,503204.00,797075.62,全满足,Optimal,0.00
W0S1,0,1,45,4499.89,0.8513,0.6924,0.0743,206887.20,37402.82,503204.00,672688.38,全满足,Optimal,0.00
W0S1,0,1,36,3937.85,0.6000,0.7446,0.2000,138092.73,100640.80,503204.00,540655.93,全满足,Optimal,0.00
W0S2,0,2,72,8117.80,1.0000,0.3193,0.0000,719276.00,0.00,337444.00,1056720.00,全满足,Optimal,0.00
W0S2,0,2,63,7408.31,1.0000,0.3653,0.0000,586421.63,0.00,337444.00,923865.63,全满足,Optimal,0.00
W0S2,0,2,54,6699.80,1.0000,0.4248,0.0000,456907.73,0.00,337444.00,794351.73,全满足,Optimal,0.00
W0S2,0,2,45,5912.13,1.0000,0.5048,0.0000,331036.03,0.00,337444.00,668480.03,全满足,Optimal,0.00
W0S2,0,2,36,5108.44,0.9572,0.6051,0.0214,215527.71,7216.00,337444.00,545755.71,全满足,Optimal,0.00
W0S3,0,3,72,8666.31,1.0000,0.2582,0.0000,783916.00,0.00,272804.00,1056720.00,部分满足,Optimal,13263.60
W0S3,0,3,63,8029.83,1.0000,0.2951,0.0000,651558.86,0.00,272804.00,924362.86,部分满足,Optimal,1351.46
W0S3,0,3,54,7399.15,1.0000,0.3431,0.0000,522236.03,0.00,272804.00,795040.03,全满足,Optimal,0.00
W0S3,0,3,45,6657.73,1.0000,0.4072,0.0000,397204.68,0.00,272804.00,670008.68,全满足,Optimal,0.00
W0S3,0,3,36,5839.96,0.9743,0.4917,0.0129,278438.79,3512.20,272804.00,547730.59,全满足,Optimal,0.00
W1S0,1,0,72,5790.35,0.7280,0.5387,0.1360,487428.00,89612.00,658904.00,1056720.00,全满足,Optimal,0.00
W1S0,1,0,63,4899.82,0.7243,0.6133,0.1379,358128.78,90845.63,658904.00,926187.15,全满足,Optimal,0.00
W1S0,1,0,54,4151.50,0.7013,0.6988,0.1493,241646.57,98402.98,658904.00,802147.59,全满足,Optimal,0.00
W1S0,1,0,45,3588.20,0.6000,0.7817,0.2000,147242.69,131780.80,658904.00,674365.89,全满足,Optimal,0.00
W1S0,1,0,36,2884.50,0.6000,0.9584,0.2000,22858.37,131780.80,658904.00,549981.57,部分满足,Optimal,0.00
W1S1,1,1,72,7320.17,1.0000,0.3789,0.0000,656376.00,0.00,400344.00,1056720.00,全满足,Optimal,0.00
W1S1,1,1,63,6571.78,1.0000,0.4331,0.0000,524110.42,0.00,400344.00,924454.42,全满足,Optimal,0.00
W1S1,1,1,54,5858.81,1.0000,0.5030,0.0000,395560.13,0.00,400344.00,795904.13,全满足,Optimal,0.00
W1S1,1,1,45,5145.60,0.9867,0.5913,0.0066,274849.58,2660.20,400344.00,672533.38,全满足,Optimal,0.00
W1S1,1,1,36,4553.84,0.7741,0.6519,0.1130,189665.24,45224.41,400344.00,544784.84,全满足,Optimal,0.00
W1S2,1,2,72,8724.81,1.0000,0.2220,0.0000,822136.00,0.00,234584.00,1056720.00,部分满足,Optimal,24729.60
W1S2,1,2,63,8096.69,1.0000,0.2538,0.0000,689778.86,0.00,234584.00,924362.86,部分满足,Optimal,12817.46
W1S2,1,2,54,7481.38,1.0000,0.2951,0.0000,560241.37,0.00,234584.00,794825.37,部分满足,Optimal,1159.08
W1S2,1,2,45,6790.03,1.0000,0.3507,0.0000,434298.64,0.00,234584.00,668882.64,全满足,Optimal,0.00
W1S2,1,2,36,6075.97,0.9773,0.4244,0.0113,314522.29,2660.20,234584.00,546446.09,全满足,Optimal,0.00
W1S3,1,3,72,9273.32,1.0000,0.1608,0.0000,886776.00,0.00,169944.00,1056720.00,部分满足,Optimal,44121.60
W1S3,1,3,63,8723.56,1.0000,0.1838,0.0000,754418.86,0.00,169944.00,924362.86,部分满足,Optimal,32209.46
W1S3,1,3,54,8192.03,1.0000,0.2135,0.0000,625933.41,0.00,169944.00,795877.40,部分满足,Optimal,20645.77
W1S3,1,3,45,7589.75,1.0000,0.2533,0.0000,501022.59,0.00,169944.00,670966.59,部分满足,Optimal,9403.79
W1S3,1,3,36,6948.04,0.9803,0.3065,0.0098,380734.80,1672.00,169944.00,549006.80,全满足,Optimal,0.00
W2S0,2,0,72,5236.75,0.6763,0.6193,0.1618,402248.20,126368.20,780840.00,1056720.00,全满足,Optimal,0.00
W2S0,2,0,63,4305.49,0.6695,0.7040,0.1653,274028.99,129042.11,780840.00,925826.87,全满足,Optimal,0.00
W2S0,2,0,54,3609.86,0.6000,0.7800,0.2000,176233.96,156168.00,780840.00,800905.96,部分满足,Optimal,0.00
W2S0,2,0,45,3036.14,0.6000,0.9335,0.2000,44499.18,156168.00,780840.00,669171.18,部分满足,Optimal,0.00
W2S0,2,0,36,2217.17,0.4686,1.0000,0.2657,0.00,207476.57,780840.00,573363.43,部分满足,Optimal,128271.42
W2S1,2,1,72,6618.64,0.9857,0.4907,0.0071,538166.40,3726.40,522280.00,1056720.00,全满足,Optimal,0.00
W2S1,2,1,63,5798.39,0.9857,0.5604,0.0071,406705.82,3726.40,522280.00,925259.42,全满足,Optimal,0.00
