场景,产量,吨氨成本(Q2),吨氨成本(Q3),成本差异,成本降幅%
W0S0,72,5447.00,5384.50,-62.50,-1.15
W0S0,63,4532.74,4451.20,-81.54,-1.80
W0S0,54,3739.46,3716.09,-23.37,-0.62
W0S0,45,3086.30,3163.43,77.13,2.50
W0S0,36,2118.44,2327.52,209.08,9.87
W0S1,72,6819.59,6757.09,-62.50,-0.92
W0S1,63,6045.35,5947.96,-97.39,-1.61
W0S1,54,5441.62,5170.74,-270.88,-4.98
W0S1,45,4874.00,4499.89,-374.11,-7.68
W0S1,36,4089.94,3937.85,-152.09,-3.72
W0S2,72,8180.30,8117.80,-62.50,-0.76
W0S2,63,7587.51,7408.31,-179.20,-2.36
W0S2,54,7070.80,6699.80,-371.00,-5.25
W0S2,45,6488.84,5912.13,-576.71,-8.89
W0S2,36,5772.91,5108.44,-664.47,-11.51
W0S3,72,8728.81,8666.31,-62.50,-0.72
W0S3,63,8205.76,8029.83,-175.93,-2.14
W0S3,54,7600.90,7399.15,-201.75,-2.65
W0S3,45,7027.73,6657.73,-370.00,-5.26
W0S3,36,6333.90,5839.96,-493.94,-7.80
W1S0,72,5852.85,5790.35,-62.50,-1.07
W1S0,63,4976.20,4899.82,-76.38,-1.53
W1S0,54,4237.30,4151.50,-85.80,-2.02
W1S0,45,3584.34,3588.20,3.86,0.11
W1S0,36,2740.98,2884.50,143.52,5.24
W1S1,72,7382.67,7320.17,-62.50,-0.85
W1S1,63,6668.51,6571.78,-96.73,-1.45
W1S1,54,6125.31,5858.81,-266.50,-4.35
W1S1,45,5516.86,5145.60,-371.26,-6.73
W1S1,36,4767.09,4553.84,-213.25,-4.47
W1S2,72,8787.31,8724.81,-62.50,-0.71
W1S2,63,8260.87,8096.69,-164.18,-1.99
W1S2,54,7780.74,7481.38,-299.36,-3.85
W1S2,45,7275.52,6790.03,-485.49,-6.67
W1S2,36,6625.35,6075.97,-549.38,-8.29
W1S3,72,9335.82,9273.32,-62.50,-0.67
W1S3,63,8859.26,8723.56,-135.70,-1.53
W1S3,54,8290.72,8192.03,-98.69,-1.19
W1S3,45,7766.75,7589.75,-177.00,-2.28
W1S3,36,7187.81,6948.04,-239.77,-3.34
W2S0,72,5299.25,5236.75,-62.50,-1.18
W2S0,63,4449.46,4305.49,-143.97,-3.24
W2S0,54,3685.21,3609.86,-75.35,-2.04
W2S0,45,2997.49,3036.14,38.65,1.29
W2S0,36,2007.42,2217.17,209.75,10.45
W2S1,72,6681.14,6618.64,-62.50,-0.94
W2S1,63,5972.70,5798.39,-174.31,-2.92
W2S1,54,5373.33,5026.19,-347.14,-6.46
W2S1,45,4706.89,4420.02,-286.87,-6.09
W2S1,36,3908.56,3822.65,-85.91,-2.20
W2S2,72,8063.80,8001.30,-62.50,-0.78
W2S2,63,7539.95,7272.71,-267.24,-3.54
W2S2,54,7033.86,6538.85,-495.01,-7.04
W2S2,45,6469.89,5744.89,-725.00,-11.21
W2S2,36,5721.12,5001.76,-719.36,-12.57
W2S3,72,8612.31,8549.81,-62.50,-0.73
W2S3,63,8122.52,7896.69,-225.83,-2.78
W2S3,54,7554.36,7237.54,-316.82,-4.19
W2S3,45,6964.76,6465.87,-498.89,-7.16
W2S3,36,6295.92,5675.89,-620.03,-9.85
W3S0,72,4952.88,4890.38,-62.50,-1.26
W3S0,63,4065.06,3951.38,-113.68,-2.80
W3S0,54,3274.63,3391.32,116.69,3.56
W3S0,45,2538.00,2709.19,171.19,6.75
W3S0,36,1433.05,1615.82,182.77,12.75
W3S1,72,6200.15,6137.65,-62.50,-1.01
W3S1,63,5456.26,5250.90,-205.36,-3.76
W3S1,54,4796.31,4485.56,-310.75,-6.48
W3S1,45,4131.70,3931.82,-199.88,-4.84
W3S1,36,3271.46,3285.70,14.24,0.44
W3S2,72,7552.61,7490.11,-62.50,-0.83
W3S2,63,6979.27,6690.63,-288.64,-4.14
W3S2,54,6399.34,5864.48,-534.86,-8.36
W3S2,45,5731.32,5008.97,-722.35,-12.60
W3S2,36,4902.34,4386.89,-515.45,-10.51
W3S3,72,8101.12,8038.62,-62.50,-0.77
W3S3,63,7539.14,7312.47,-226.67,-3.01
W3S3,54,6914.30,6558.72,-355.58,-5.14
W3S3,45,6236.66,5684.20,-552.46,-8.86
W3S3,36,5463.34,4852.55,-610.79,-11.18
W4S0,72,5195.11,5132.61,-62.50,-1.20
W4S0,63,4332.57,4170.31,-162.26,-3.75
W4S0,54,3542.65,3512.60,-30.05,-0.85
W4S0,45,2810.45,2927.01,116.56,4.15
W4S0,36,1773.62,1978.31,204.69,11.54
W4S1,72,6467.68,6405.18,-62.50,-0.97
W4S1,63,5730.88,5573.14,-157.74,-2.75
W4S1,54,5088.61,4827.45,-261.16,-5.13
W4S1,45,4459.07,4242.17,-216.90,-4.86
W4S1,36,3655.71,3611.67,-44.04,-1.20
W4S2,72,7814.24,7751.74,-62.50,-0.80
W4S2,63,7256.87,6994.54,-262.33,-3.61
W4S2,54,6778.26,6228.87,-549.39,-8.11
W4S2,45,6210.74,5413.20,-797.54,-12.84
W4S2,36,5397.67,4761.96,-635.71,-11.78
W4S3,72,8362.75,8300.25,-62.50,-0.75
W4S3,63,7875.11,7611.48,-263.63,-3.35
W4S3,54,7311.30,6914.03,-397.27,-5.43
W4S3,45,6716.73,6103.98,-612.75,-9.12
W4S3,36,5974.38,5326.08,-648.30,-10.85
W5S0,72,5530.02,5467.52,-62.50,-1.13
W5S0,63,4703.95,4538.24,-165.71,-3.52
W5S0,54,3979.68,3857.06,-122.62,-3.08
W5S0,45,3311.42,3320.52,9.10,0.27
W5S0,36,2399.83,2622.49,222.66,9.28
W5S1,72,7053.59,6991.09,-62.50,-0.89
W5S1,63,6389.11,6196.66,-192.45,-3.01
W5S1,54,5863.18,5436.83,-426.35,-7.27
W5S1,45,5243.24,4755.91,-487.33,-9.29
W5S1,36,4464.06,4190.71,-273.35,-6.12
W5S2,72,8458.23,8395.73,-62.50,-0.74
W5S2,63,7981.48,7720.95,-260.53,-3.26
W5S2,54,7461.11,7046.28,-414.83,-5.56
W5S2,45,6923.93,6288.73,-635.20,-9.17
W5S2,36,6266.15,5522.21,-743.94,-11.87
W5S3,72,9006.74,8944.24,-62.50,-0.69
W5S3,63,8530.17,8347.46,-182.71,-2.14
W5S3,54,7991.22,7756.44,-234.78,-2.94
W5S3,45,7397.92,7066.29,-331.63,-4.48
W5S3,36,6784.40,6325.90,-458.50,-6.76
