场景编号,风电场景,光伏场景,典型日用电量(MWh),新能源发电量(MWh),网购电量(MWh),上网电量(MWh),新能源自发自用电量占比(%),总用电量绿电比例(%),新能源上网电量比例(%),吨氨成本(元/吨),自消纳达标,绿电比例达标,上网比例达标,自消纳裕度(百分点),绿电裕度(百分点),上网裕度(百分点),三分类
1,1.0,1.0,558.72,761.76,145.19,348.23,8.57,74.01,45.71,2983.79,False,True,False,-51.43,44.01,-25.71,部分满足
2,1.0,2.0,558.72,503.2,175.04,119.52,52.5,68.67,23.75,4971.16,False,True,False,-7.5,38.67,-3.75,部分满足
3,1.0,3.0,558.72,337.44,226.44,5.16,96.94,59.47,1.53,6595.33,True,True,True,36.94,29.47,18.47,全满足
4,1.0,4.0,558.72,272.8,285.92,0.0,100.0,48.83,0.0,7631.5,True,True,True,40.0,18.83,20.0,全满足
5,2.0,1.0,558.72,658.9,182.62,282.8,14.16,67.31,42.92,3673.17,False,True,False,-45.84,37.31,-22.92,部分满足
6,2.0,2.0,558.72,400.34,237.28,78.91,60.58,57.53,19.71,5815.36,True,True,True,0.58,27.53,0.29,全满足
7,2.0,3.0,558.72,234.58,324.14,0.0,100.0,41.99,0.0,7748.51,True,True,True,40.0,11.99,20.0,全满足
8,2.0,4.0,558.72,169.94,388.78,0.0,100.0,30.42,0.0,8845.53,True,True,True,40.0,0.42,20.0,全满足
9,3.0,1.0,558.72,780.84,122.99,345.11,11.61,77.99,44.2,2696.22,False,True,False,-48.39,47.99,-24.2,部分满足
10,3.0,2.0,558.72,522.28,153.69,117.25,55.1,72.49,22.45,4718.25,False,True,False,-4.9,42.49,-2.45,部分满足
11,3.0,3.0,558.72,356.52,203.54,1.34,99.25,63.57,0.38,6317.34,True,True,True,39.25,33.57,19.62,全满足
12,3.0,4.0,558.72,291.88,266.84,0.0,100.0,52.24,0.0,7398.51,True,True,True,40.0,22.24,20.0,全满足
13,4.0,1.0,558.72,876.92,103.42,421.62,3.84,81.49,48.08,2094.6,False,True,False,-56.16,51.49,-28.08,部分满足
14,4.0,2.0,558.72,618.36,108.25,167.89,45.7,80.63,27.15,4003.87,False,True,False,-14.3,50.63,-7.15,部分满足
15,4.0,3.0,558.72,452.6,130.14,24.02,89.38,76.71,5.31,5415.36,True,True,True,29.38,46.71,14.69,全满足
16,4.0,4.0,558.72,387.96,179.12,8.36,95.69,67.94,2.16,6386.7,True,True,True,35.69,37.94,17.84,全满足
17,5.0,1.0,558.72,819.42,113.29,373.99,8.72,79.72,45.64,2434.98,False,True,False,-51.28,49.72,-25.64,部分满足
18,5.0,2.0,558.72,560.86,144.21,146.35,47.81,74.19,26.09,4489.77,False,True,False,-12.19,44.19,-6.09,部分满足
19,5.0,3.0,558.72,395.1,172.94,9.32,95.28,69.05,2.36,5902.21,True,True,True,35.28,39.05,17.64,全满足
20,5.0,4.0,558.72,330.46,228.26,0.0,100.0,59.15,0.0,6899.39,True,True,True,40.0,29.15,20.0,全满足
21,6.0,1.0,558.72,715.76,137.45,294.49,17.71,75.4,41.14,3082.7,False,True,False,-42.29,45.4,-21.14,部分满足
22,6.0,2.0,558.72,457.2,179.03,77.51,66.09,67.96,16.95,5153.06,True,True,True,6.09,37.96,3.05,全满足
23,6.0,3.0,558.72,291.44,267.28,0.0,100.0,52.16,0.0,7090.34,True,True,True,40.0,22.16,20.0,全满足
24,6.0,4.0,558.72,226.8,331.92,0.0,100.0,40.59,0.0,8187.36,True,True,True,40.0,10.59,20.0,全满足
年度汇总,,,,,,,,,,,,,,,,,"全满足:14场景(210天,58.3%); 部分满足:10场景(150天,41.7%); 全不满足:0场景(0天,0.0%)"
年度加权平均,,,558.72,475.97,200.32,117.58,65.37,64.15,17.31,5438.96,,,,5.37,34.15,2.69,年度加权平均
