场景编号,风电场景,光伏场景,运行成本(元),吨氨成本(元/吨),日购电量(MWh),日售电量(MWh),日ALK耗电量(MWh),日PEM耗电量(MWh),日NH3耗电量(MWh),新能源自发自用电量占比(%),总用电量绿电比例(%),新能源上网电量比例(%),s_self(MWh),s_green(MWh),s_feed(MWh),三分类,状态
1,1,1,108177.13,4550.41,412.3202,105.6268,573.8994,397.838,36.0,72.27,61.41,13.87,0.0,0.0,0.0,全满足,最优
2,1,2,234904.26,5893.54,561.2303,0.0,541.7143,426.0,36.0,100.0,47.27,0.0,0.0,0.0,0.0,全满足,最优
3,1,3,339189.71,7047.23,732.3054,0.0,584.2354,388.794,36.0,100.0,31.54,0.0,0.0,0.0,0.0,全满足,最优
4,1,4,382367.16,7520.89,802.2148,0.0,626.3906,351.9082,36.0,100.0,25.38,0.0,0.0,49.7016,0.0,部分满足,最优
5,2,1,148342.07,4893.88,450.0322,40.4536,574.1006,397.662,36.0,87.72,57.88,6.14,0.0,0.0,0.0,全满足,最优
6,2,2,290045.49,6445.1,664.0903,0.0,541.7143,426.0,36.0,100.0,37.61,0.0,0.0,0.0,0.0,全满足,最优
7,2,3,396072.07,7613.02,838.032,0.0,607.1678,368.7282,36.0,100.0,21.87,0.0,0.0,87.2008,0.0,部分满足,最优
8,2,4,440497.27,8109.36,906.4,0.0,636.9918,342.6322,36.0,100.0,15.79,0.0,0.0,152.9592,0.0,部分满足,最优
9,3,1,97100.57,4439.15,391.3282,104.5285,567.3577,403.562,36.0,73.23,63.35,13.39,0.0,0.0,0.0,全满足,最优
10,3,2,224027.6,5784.82,541.4054,0.0,535.7234,431.242,36.0,100.0,49.1,0.0,0.0,0.0,0.0,全满足,最优
11,3,3,328156.42,6935.09,712.8391,0.0,581.1129,391.5262,36.0,100.0,33.34,0.0,0.0,0.0,0.0,全满足,最优
12,3,4,371366.45,7408.98,782.8111,0.0,623.7687,354.2024,36.0,100.0,27.16,0.0,0.0,30.5273,0.0,部分满足,最优
13,4,1,61398.67,4145.04,356.5322,166.2702,563.728,406.738,36.0,62.08,66.59,18.96,0.0,0.0,0.0,全满足,最优
14,4,2,174155.97,5293.91,444.8677,0.0,532.0937,434.418,36.0,100.0,58.16,0.0,0.0,0.0,0.0,全满足,最优
15,4,3,277838.44,6440.53,615.5665,0.0,571.6043,399.8462,36.0,100.0,42.37,0.0,0.0,0.0,0.0,全满足,最优
16,4,4,321206.05,6917.33,685.3305,0.0,612.5961,363.9784,36.0,100.0,36.15,0.0,0.0,0.0,0.0,全满足,最优
17,5,1,81369.1,4299.94,375.7164,127.1824,569.8718,401.3622,36.0,68.96,64.82,15.52,0.0,0.0,0.0,全满足,最优
18,5,2,203097.04,5573.4,503.1397,0.0,538.2375,429.0422,36.0,100.0,52.71,0.0,0.0,0.0,0.0,全满足,最优
19,5,3,305966.54,6714.45,672.1925,0.0,564.5801,405.9924,36.0,100.0,37.02,0.0,0.0,0.0,0.0,全满足,最优
20,5,4,348921.57,7183.63,742.5011,0.0,609.9287,366.3124,36.0,100.0,30.8,0.0,0.0,0.0,0.0,全满足,最优
21,6,1,120300.76,4625.12,407.8482,55.7765,568.8937,402.218,36.0,84.41,61.81,7.79,0.0,0.0,0.0,全满足,最优
22,6,2,258416.37,6126.19,606.6774,0.0,537.2594,429.898,36.0,100.0,42.97,0.0,0.0,0.0,0.0,全满足,最优
23,6,3,364158.79,7289.65,780.7677,0.0,603.9015,371.5862,36.0,100.0,27.18,0.0,0.0,30.2223,0.0,部分满足,最优
24,6,4,408081.18,7776.7,849.7994,0.0,639.035,340.8444,36.0,100.0,21.07,0.0,0.0,96.1798,0.0,部分满足,最优
年度汇总,,,,,,,,,,,,,,,,全满足18场景(270天) | 部分满足6场景(90天) | 全不满足0场景(0天) | 不可行0场景(0天),共24场景，24个最优
