场景编号,风电场景,光伏场景,储能容量(MWh),储能功率(MW),年化投资成本(元),年运行成本(元),TAC(元),新能源自发自用电量占比(%),总用电量绿电比例(%),新能源上网电量比例(%),吨氨成本(元/吨),日制氨量(吨),SOC_0,SOC_1,SOC_2,SOC_3,SOC_4,SOC_5,SOC_6,SOC_7,SOC_8,SOC_9,SOC_10,SOC_11,SOC_12,SOC_13,SOC_14,SOC_15,SOC_16,SOC_17,SOC_18,SOC_19,SOC_20,SOC_21,SOC_22,SOC_23,状态
1,1,1,0.116,0.058,7733.33,4100489.52,4108222.85,1.000615,0.999385,0.0,5617.66,25.1337,0.058,0.0762,0.0116,0.0638,0.024,0.0762,0.0116,0.0638,0.1044,0.0523,0.1044,0.0523,0.1044,0.0523,0.1044,0.0523,0.1044,0.0523,0.1044,0.1044,0.1044,0.0397,0.0116,0.0523,最优
2,1,2,0.116,0.058,7733.33,2277148.75,2284882.09,1.000975,0.999026,0.0,4632.16,22.8969,0.058,0.0762,0.0116,0.0638,0.1044,0.0397,0.0762,0.0116,0.0638,0.1044,0.0523,0.1044,0.0523,0.1044,0.0523,0.1044,0.0523,0.1044,0.1044,0.0523,0.1044,0.0397,0.0116,0.0523,最优
3,1,3,0.116,0.058,7733.33,1221033.66,1228766.99,1.001425,0.998577,0.0,4151.42,18.9906,0.058,0.0762,0.0116,0.0638,0.0116,0.0638,0.1044,0.0397,0.0919,0.1044,0.0523,0.1044,0.0887,0.024,0.0762,0.0116,0.0638,0.1044,0.0397,0.0919,0.1044,0.0397,0.0116,0.0523,最优
4,1,4,0.116,0.058,7733.33,958360.29,966093.62,1.001882,0.998122,0.0,4332.78,14.5982,0.058,0.0762,0.0116,0.0638,0.1044,0.0397,0.0919,0.0272,0.0794,0.1044,0.0397,0.0762,0.0116,0.0638,0.1044,0.0523,0.1044,0.0523,0.1044,0.0523,0.1044,0.0397,0.0116,0.0523,最优
5,2,1,0.2764,0.1382,18426.67,3423410.15,3441836.82,1.00182,0.998184,0.0,5390.1,22.4826,0.1382,0.2488,0.0947,0.2189,0.0649,0.1816,0.0276,0.0276,0.152,0.2488,0.117,0.2411,0.0871,0.2113,0.0573,0.1816,0.0276,0.152,0.2488,0.2488,0.1246,0.2488,0.0947,0.2189,最优
6,2,2,0.2764,0.1382,18426.67,1688485.24,1706911.91,1.002911,0.997097,0.0,4494.42,18.3676,0.1382,0.2488,0.1246,0.2488,0.0947,0.2189,0.0649,0.1816,0.0276,0.152,0.0276,0.152,0.2488,0.0947,0.2189,0.0649,0.1892,0.2488,0.2488,0.2488,0.1246,0.2488,0.0947,0.2189,最优
7,2,3,0.2764,0.1382,18426.67,767915.78,786342.45,1.004993,0.995032,0.0,4284.0,11.8771,0.1382,0.2488,0.1246,0.2488,0.1246,0.2488,0.1246,0.2488,0.1246,0.2488,0.1816,0.0276,0.152,0.2488,0.0947,0.2189,0.2488,0.0947,0.2189,0.2488,0.1246,0.2488,0.0947,0.2189,最优
8,2,4,0.2764,0.1382,18426.67,557365.95,575792.61,1.00751,0.992546,0.0,5010.89,7.0499,0.1382,0.2488,0.1246,0.2488,0.0947,0.2189,0.0649,0.1816,0.0276,0.152,0.2488,0.1246,0.2488,0.1246,0.2488,0.0947,0.2189,0.0649,0.1892,0.2488,0.1246,0.2488,0.0947,0.2189,最优
9,3,1,0.0,0.0,0.0,4154024.15,4154024.15,1.0,1.0,0.0,5474.59,26.7633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,最优
10,3,2,0.0,0.0,0.0,2328926.25,2328926.25,1.0,1.0,0.0,4546.83,24.4026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,最优
